"id","predicate","arity","argument_types","kind","scope_dimension","description","example"
"F049","special_category_data","1","datum:Datum","intensional","DEFINITION","Derived: datum has a category tag in the Art 9(1) closed list.","special_category_data('hr_record_3')"
"F050","ai_system","1","scenario:Scenario","intensional","DEFINITION","Derived: scenario is an AI system per Art 3(1) feature/capability conjunction.","ai_system('ai_robot_v2')"
"F051","gpai_model","1","scenario:Scenario","intensional","DEFINITION","Derived: scenario is a general-purpose AI model.","gpai_model('llm_x')"
"F052","gpai_systemic_risk","1","scenario:Scenario","intensional","CLASSIFICATION","Derived: GPAI model with systemic risk (compute > 10^25 FLOPs OR Commission designation).","gpai_systemic_risk('llm_x')"
"F053","prohibited_practice","1","scenario:Scenario","intensional","CLASSIFICATION","Derived: AI system uses any of the prohibited practices Art 5(1)(a)-(h).","prohibited_practice('s_social_scoring')"
"F054","high_risk_ai","1","scenario:Scenario","intensional","CLASSIFICATION","Derived: high-risk via safety-component limb (6(1)) OR Annex III use-case limb (6(2)).","high_risk_ai('ai_recruiter')"
"F055","gdpr_material","1","scenario:Scenario","intensional","MATERIAL","Derived: GDPR material-scope test (automated-means OR filing-system limb).","gdpr_material('s_payroll')"
"F056","ai_act_material","1","scenario:Scenario","intensional","MATERIAL","Derived: AI Act material scope (ai_system OR gpai_model).","ai_act_material('ai_robot_v2')"
"F057","gdpr_territorial_link","2","actor:Actor, scenario:Scenario","intensional","TERRITORIAL","Derived: actor anchors GDPR territorial scope (Art 3 limbs).","gdpr_territorial_link('acme_inc','s_payroll')"
"F058","ai_act_territorial_link","2","actor:Actor, ai_system:AISystem","intensional","TERRITORIAL","Derived: actor anchors AI Act territorial scope per Art 2(1)(a)-(f).","ai_act_territorial_link('robotcorp','ai_robot_v2')"
"F059","gdpr_excluded","1","scenario:Scenario","intensional","EXCLUSION","Derived: any GDPR exclusion limb fires.","gdpr_excluded('s_family_photos')"
"F060","ai_act_excluded","1","scenario:Scenario","intensional","EXCLUSION","Derived: any AI Act exclusion limb fires.","ai_act_excluded('s_lab_proto')"
"F061","in_force","2","regulation:Regulation, time:Time","intensional","TEMPORAL","Derived: regulation has entered into force at the named time.","in_force('ai_act','2026-04-30')"
"F062","applicable_at","3","regulation:Regulation, provision:Provision, time:Time","intensional","TEMPORAL","Derived: a specific provision is applicable at the named time.","applicable_at('ai_act','chapter_ii_prohibitions','2025-03-01')"
"F063","applies","3","scenario:Scenario, time:Time, regulation:Regulation","intensional","ORCHESTRATION","Top-level: regulation governs scenario at time (in_force AND territorial AND material AND NOT excluded).","applies('s_payroll','2026-04-30','gdpr')"
"F064","applies_via_actor","4","scenario:Scenario, time:Time, regulation:Regulation, actor:Actor","intensional","ORCHESTRATION","Top-level with provenance of which actor anchored territorial scope.","applies_via_actor('s_payroll','2026-04-30','gdpr','acme_inc')"
"F065","processing_concerns","2","scenario:Scenario, datum:Datum","extensional","MATERIAL","Scenario processes or otherwise includes the datum; bridge from processing operation to data classification.","processing_concerns('s_payroll','record_42')"
"F066","obligation","3","actor:Actor, target:ScenarioOrSystem, provision:Provision","intensional","OBLIGATION","Actor has a triggered duty under a provision for the scenario or AI system.","obligation('acme_inc','s_payroll','GDPR_A27.1_designate_representative_in_union')"
"F067","prohibition","3","actor:Actor, target:ScenarioOrSystem, provision:Provision","intensional","OBLIGATION","Actor is subject to a triggered prohibition under a provision.","prohibition('acme_inc','ai_x','AIAct_A5.1_prohibited_ai_practice')"
"F068","no_obligation","3","actor:Actor, target:ScenarioOrSystem, provision:Provision","intensional","OBLIGATION","The provision removes or negates a duty for the actor in the scenario.","no_obligation('acme_inc','s_minimal','GDPR_A11.1_no_extra_identification')"
"F069","gdpr_art3_2_applies","2","actor:Actor, scenario:Scenario","intensional","TERRITORIAL","Specific territorial limb where GDPR Article 3(2) applies; used by Article 27 representative obligations.","gdpr_art3_2_applies('acme_inc','s_targeting_eu')"
"F070","gdpr_representative_obligation_exempt","2","actor:Actor, scenario:Scenario","intensional","EXCEPTION","Article 27(2) exemption from the Article 27(1) representative designation obligation.","gdpr_representative_obligation_exempt('public_body','s_case')"
"F071","occasional_processing","1","scenario:Scenario","extensional","EXCEPTION","Processing is occasional for Article 27(2)(a).","occasional_processing('s_event')"
"F072","large_scale_special_category_processing","1","scenario:Scenario","extensional","EXCEPTION","Processing includes large-scale Article 9(1) special-category data.","large_scale_special_category_processing('s_health_platform')"
"F073","large_scale_criminal_offence_processing","1","scenario:Scenario","extensional","EXCEPTION","Processing includes large-scale Article 10 criminal conviction/offence data.","large_scale_criminal_offence_processing('s_background_checks')"
"F074","public_authority_body","1","actor:Actor","extensional","ROLE","Actor is a public authority or body for Article 27(2)(b).","public_authority_body('city_agency')"
"F075","official_authority_control","1","scenario:Scenario","extensional","OBLIGATION","Criminal-offence-data processing is carried out under control of official authority.","official_authority_control('s_criminal_records')"
"F076","law_authorises_criminal_data_processing","1","scenario:Scenario","extensional","EXCEPTION","Union or Member State law authorises Article 10 criminal-offence-data processing with safeguards.","law_authorises_criminal_data_processing('s_checks')"
"F077","gdpr_art9_exception","1","scenario:Scenario","intensional","EXCEPTION","One of the Article 9(2) exceptions to the Article 9(1) special-category-data prohibition applies.","gdpr_art9_exception('s_healthcare')"
"F078","explicit_consent_special_category","1","scenario:Scenario","extensional","EXCEPTION","Data subject gave explicit consent for one or more specified special-category-data purposes.","explicit_consent_special_category('s_research')"
"F079","employment_social_security_law_basis","1","scenario:Scenario","extensional","EXCEPTION","Processing is necessary for employment, social security, or social protection law obligations/rights.","employment_social_security_law_basis('s_hr')"
"F080","vital_interests_incapable","1","scenario:Scenario","extensional","EXCEPTION","Processing is necessary to protect vital interests where the data subject is physically or legally incapable of consent.","vital_interests_incapable('s_emergency')"
"F081","nonprofit_legitimate_activity_safeguards","1","scenario:Scenario","extensional","EXCEPTION","Non-profit body processes within legitimate activities with appropriate safeguards.","nonprofit_legitimate_activity_safeguards('s_union_members')"
"F082","manifestly_public_by_data_subject","1","scenario:Scenario","extensional","EXCEPTION","Processing relates to data manifestly made public by the data subject.","manifestly_public_by_data_subject('s_public_profile')"
"F083","legal_claims_or_judicial_capacity","1","scenario:Scenario","extensional","EXCEPTION","Processing is necessary for legal claims or courts acting in judicial capacity.","legal_claims_or_judicial_capacity('s_litigation')"
"F084","substantial_public_interest_law_basis","1","scenario:Scenario","extensional","EXCEPTION","Processing is necessary for substantial public interest on Union or Member State law basis with safeguards.","substantial_public_interest_law_basis('s_public_program')"
"F085","healthcare_socialcare_law_or_contract","1","scenario:Scenario","extensional","EXCEPTION","Processing is necessary for occupational/preventive medicine, medical diagnosis, health/social care, or management under law/contract.","healthcare_socialcare_law_or_contract('s_clinic')"
"F086","public_health_interest_law_basis","1","scenario:Scenario","extensional","EXCEPTION","Processing is necessary for public-health reasons under Union or Member State law with suitable measures.","public_health_interest_law_basis('s_pandemic')"
"F087","research_archiving_statistics_law_basis","1","scenario:Scenario","extensional","EXCEPTION","Processing is necessary for archiving, scientific/historical research, or statistical purposes under Article 89(1) and law.","research_archiving_statistics_law_basis('s_study')"
"F088","identification_not_required_for_purposes","1","scenario:Scenario","extensional","OBLIGATION","Controller purposes do not or no longer require identification of the data subject.","identification_not_required_for_purposes('s_aggregated')"
"F089","not_in_position_to_identify_data_subject","1","scenario:Scenario","extensional","OBLIGATION","Controller can demonstrate it is not in a position to identify the data subject.","not_in_position_to_identify_data_subject('s_aggregated')"
"F090","informing_data_subject_possible","1","scenario:Scenario","extensional","OBLIGATION","It is possible to inform the data subject.","informing_data_subject_possible('s_request')"
"F091","provider_claims_not_high_risk","2","actor:Actor, ai_system:AISystem","extensional","CLASSIFICATION","Provider considers an Annex III AI system not to be high-risk.","provider_claims_not_high_risk('robotcorp','ai_cv_tool')"
"F092","intended_to_interact_directly_with_natural_persons","1","ai_system:AISystem","extensional","OBLIGATION","AI system is intended to interact directly with natural persons.","intended_to_interact_directly_with_natural_persons('ai_chatbot')"
"F093","interaction_obviously_ai","1","ai_system:AISystem","extensional","EXCEPTION","It is obvious from the point of view of a reasonably well-informed, observant and circumspect natural person that they are interacting with AI.","interaction_obviously_ai('ai_robot_kiosk')"
"F094","generates_synthetic_content","1","ai_system:AISystem","extensional","OBLIGATION","AI system generates synthetic audio, image, video, or text content.","generates_synthetic_content('ai_image_gen')"
"F095","emotion_recognition_system","1","ai_system:AISystem","extensional","CLASSIFICATION","AI system is an emotion recognition system.","emotion_recognition_system('ai_mood')"
"F096","biometric_categorisation_system","1","ai_system:AISystem","extensional","CLASSIFICATION","AI system is a biometric categorisation system.","biometric_categorisation_system('ai_bio_cat')"
"F097","deep_fake_generation_or_manipulation","1","ai_system:AISystem","extensional","OBLIGATION","AI system generates or manipulates image, audio, or video content constituting a deep fake.","deep_fake_generation_or_manipulation('ai_video_tool')"
"F098","deep_fake_disclosure_exempt","1","ai_system:AISystem","extensional","EXCEPTION","Deep-fake disclosure exception applies, e.g. authorised by law or covered by freedom of expression/art/science with safeguards.","deep_fake_disclosure_exempt('ai_investigation_tool')"
"F099","generated_text_public_interest","1","ai_system:AISystem","extensional","OBLIGATION","AI system generates or manipulates text published to inform the public on matters of public interest.","generated_text_public_interest('ai_news_writer')"
"F100","human_review_or_editorial_control","1","ai_system:AISystem","extensional","EXCEPTION","AI-generated text has undergone human review/editorial control with editorial responsibility.","human_review_or_editorial_control('ai_news_writer')"
"F101","gpai_high_impact_capability","1","ai_system:AISystem","intensional","CLASSIFICATION","GPAI model meets Article 51(1)(a) high-impact-capability condition.","gpai_high_impact_capability('gpai_frontier')"
"F102","rbi_law_enforcement_exception","1","ai_system:AISystem","extensional","EXCEPTION","Real-time remote biometric identification falls within Article 5(1)(h) law-enforcement exception and necessity limits.","rbi_law_enforcement_exception('ai_rbi')"
"F103","predictive_policing_supporting_human_assessment_exception","1","ai_system:AISystem","extensional","EXCEPTION","Predictive policing system is used only to support human assessment based on objective and verifiable facts directly linked to criminal activity.","predictive_policing_supporting_human_assessment_exception('ai_case_triage')"
"F104","emotion_inference_medical_or_safety_exception","1","ai_system:AISystem","extensional","EXCEPTION","Emotion inference in workplace/education is intended for medical or safety reasons.","emotion_inference_medical_or_safety_exception('ai_safety_monitor')"
"F105","biometric_categorisation_lawful_filtering_exception","1","ai_system:AISystem","extensional","EXCEPTION","Biometric categorisation is ancillary to lawful acquired biometric datasets, such as labelling/filtering, and does not infer protected categories.","biometric_categorisation_lawful_filtering_exception('ai_photo_filter')"
"F106","source_provision","2","provision:Provision, regulation:Regulation","reference","COVERAGE","Maps a legal text row to its regulation.","source_provision('GDPR_A1.1','gdpr')"
"F107","source_text_kind","2","provision:Provision, kind:TextKind","reference","COVERAGE","Stores whether a row is recital, article, paragraph, point, or subpoint.","source_text_kind('GDPR_R14','recital')"
"F108","source_scope_tag","2","provision:Provision, scope:ScopeTag","reference","COVERAGE","Stores the workbook scope tag as a Datalog fact.","source_scope_tag('GDPR_R14','material')"
"F109","article_header","2","provision:Provision, regulation:Regulation","reference","COVERAGE","Non-operative article heading/header marker.","article_header('AIAct_A5','ai_act')"
"F110","recital","2","provision:Provision, regulation:Regulation","reference","INTERPRETIVE","Marks a provision as a recital; recitals are interpretive support, not direct obligations.","recital('GDPR_R14','gdpr')"
"F111","recital_supports","2","recital:Provision, topic:Topic","reference","INTERPRETIVE","Links recitals to the scope dimension or interpretive topic they support.","recital_supports('GDPR_R14','material')"
"F112","defined_term","2","provision:Provision, term:Term","reference","DEFINITION","Records the term defined by a definition row.","defined_term('AIAct_A3.1','ai_system')"
"F113","definition_source","2","predicate:Predicate, provision:Provision","reference","DEFINITION","Links a predicate/term to the provision defining it.","definition_source('ai_system','AIAct_A3.1')"
"F114","definition_matches","2","predicate:Predicate, entity:Entity","intensional","DEFINITION","Generic derived bridge for definition rows that need upstream extensional classification.","definition_matches('ai_system','sys1')"
"F115","legal_effect_clause","2","provision:Provision, effect:EffectTag","reference","COVERAGE","Fallback legal-effect marker where text is not safely reducible to a specific operational predicate.","legal_effect_clause('AIAct_A7.2.a','material')"
"F116","provision_trigger","3","provision:Provision, actor:Actor, target:ScenarioOrSystem","extensional","COVERAGE","Opaque upstream trigger for a provision-specific fact when text cannot be fully decomposed.","provision_trigger('GDPR_A85.1','member_state_fr','s1')"
"F117","permission","3","actor:Actor, target:ScenarioOrSystem, provision:Provision","intensional","OBLIGATION","Flat permission/discretion predicate for may/empowered language.","permission('commission','x','AIAct_A7.1')"
"F118","without_prejudice","2","provision:Provision, external_rule:ExternalLaw","reference","INTERPRETIVE","Marks provisions that preserve or do not affect another legal instrument or more specific rule.","without_prejudice('GDPR_A2.4','external_or_more_specific_law')"
"F119","restriction_safeguard_basis","2","provision:Provision, basis:RestrictionBasis","reference","EXCEPTION","Article 23-style basis or safeguard marker for restrictions.","restriction_safeguard_basis('GDPR_A23.1.a','national_security')"
"F120","member_state_cfsp_activity","1","scenario:Scenario","extensional","EXCLUSION","Member State activity within Chapter 2 of Title V TEU / CFSP.","member_state_cfsp_activity('s1')"
"F121","member_state_discretion","2","provision:Provision, topic:Topic","reference","EXCEPTION","Member State may/shall/more-specific-rule discretion marker.","member_state_discretion('GDPR_A85.1','freedom_expression_reconciliation')"
"F122","no_additional_obligations","3","actor:Actor, target:ScenarioOrSystem, provision:Provision","intensional","EXCEPTION","Marks lex-specialis/no additional obligations clauses.","no_additional_obligations('a','s','GDPR_A95')"
"F123","repealed_on","2","instrument:LegalInstrument, date:Date","reference","TEMPORAL","Legal instrument repeal date.","repealed_on('directive_95_46_ec','2018-05-25')"
"F124","references_construed_as","2","old_reference:LegalReference, new_reference:LegalReference","reference","TEMPORAL","Reference-conversion rule after repeal/replacement.","references_construed_as('directive_95_46_ec','gdpr')"
"F125","validity_continues","2","instrument_or_arrangement:LegalInstrument, condition:Condition","reference","TEMPORAL","Transitional continuation marker.","validity_continues('pre_2016_05_24_international_transfer_agreements','until_amended_replaced_or_revoked')"
"F126","not_high_risk_derogation_factor","2","ai_system:AISystem, factor:Factor","intensional","CLASSIFICATION","AI Act Article 6(3) factor that can support non-high-risk classification.","not_high_risk_derogation_factor('sys1','narrow_procedural_task')"
"F127","not_high_risk_ai","1","ai_system:AISystem","intensional","CLASSIFICATION","AI Act Article 6(3) not-high-risk classification.","not_high_risk_ai('sys1')"
"F128","rbi_exception_ground","2","ai_system:AISystem, provision:Provision","extensional","EXCEPTION","Ground supporting real-time remote biometric identification exception.","rbi_exception_ground('sys1','AIAct_A5.1.h.i')"
"F129","affected_person","2","actor:Actor, ai_system:AISystem","extensional","TERRITORIAL","Affected person located in the Union for AI Act territorial link.","affected_person('alice','sys1')"
"F130","interpretive_support","2","provision:Provision, topic:Topic","reference","INTERPRETIVE","Non-operative interpretive support fact, especially for recitals.","interpretive_support('GDPR_R14','non_operative_recital')"
"F131","additional_information_kept_separately","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R29.","additional_information_kept_separately('x')"
"F132","adequate_fundamental_rights_safeguards","1","entity:Entity","extensional","EXCEPTION","Predicate used by improved recital-derived rules for AIAct_R22.","adequate_fundamental_rights_safeguards('x')"
"F133","ai_act_complementary_to_existing_union_law","1","ai_system:AISystem","intensional","TERRITORIAL","Predicate used by improved recital-derived rules for AIAct_R9.","ai_act_complementary_to_existing_union_law('x')"
"F134","ai_act_exclusion_applies_regardless_entity_type","1","ai_system:AISystem","intensional","EXCLUSION","Predicate used by improved recital-derived rules for AIAct_R24.","ai_act_exclusion_applies_regardless_entity_type('x')"
"F135","ai_act_not_excluded_by_defence_or_security_reentry","1","ai_system:AISystem","intensional","EXCLUSION","Predicate used by improved recital-derived rules for AIAct_R24.","ai_act_not_excluded_by_defence_or_security_reentry('x')"
"F136","ai_act_protected_interest","1","ai_system:AISystem","reference","MATERIAL","Predicate used by improved recital-derived rules for AIAct_R1.","ai_act_protected_interest('x')"
"F137","ai_regulatory_sandbox_rules_available","1","ai_system:AISystem","intensional","MATERIAL","Predicate used by improved recital-derived rules for AIAct_R25.","ai_regulatory_sandbox_rules_available('x')"
"F138","ai_system_definition_should_align_with_international_work","1","ai_system:AISystem","intensional","MATERIAL","Predicate used by improved recital-derived rules for AIAct_R14.","ai_system_definition_should_align_with_international_work('x')"
"F139","ai_system_lifecycle_activity","1","ai_system:AISystem","intensional","MATERIAL","Predicate used by improved recital-derived rules for AIAct_R1.","ai_system_lifecycle_activity('x')"
"F140","ai_system_or_model","1","ai_system:AISystem","extensional","MATERIAL","Predicate used by improved recital-derived rules for AIAct_R25.","ai_system_or_model('x')"
"F141","analyses_or_predicts_attitudes","2","arg1:Entity, arg2:EntityOrTag","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R24.","analyses_or_predicts_attitudes('x','y')"
"F142","analyses_or_predicts_behaviour","2","arg1:Entity, arg2:EntityOrTag","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R24.","analyses_or_predicts_behaviour('x','y')"
"F143","analyses_or_predicts_preferences","2","arg1:Entity, arg2:EntityOrTag","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R24.","analyses_or_predicts_preferences('x','y')"
"F144","anonymised_data","1","datum:Datum","extensional","DEFINITION","Predicate used by improved recital-derived rules for GDPR_R26.","anonymised_data('x')"
"F145","anonymous_information","1","entity:Entity","intensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R26.","anonymous_information('x')"
"F146","authorised_persons_indicated","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R29.","authorised_persons_indicated('x')"
"F147","automated_decision_making_rights_unaffected","2","arg1:Entity, arg2:EntityOrTag","intensional","EXCEPTION","Predicate used by improved recital-derived rules for AIAct_R14.","automated_decision_making_rights_unaffected('x','y')"
"F148","automated_individual_decision_making","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for AIAct_R14.","automated_individual_decision_making('x')"
"F149","available_technology_relevant","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R26.","available_technology_relevant('x')"
"F150","behaviour_takes_place_in_eu","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R24.","behaviour_takes_place_in_eu('x')"
"F151","branch_in_union","1","entity:Entity","extensional","TERRITORIAL","Predicate used by improved recital-derived rules for GDPR_R22.","branch_in_union('x')"
"F152","circumvention_risk_scope","1","entity:Entity","intensional","INTERPRETIVE","Predicate used by improved recital-derived rules for AIAct_R22.","circumvention_risk_scope('x')"
"F153","combined_with_unique_identifier","1","entity:Entity","extensional","DEFINITION","Predicate used by improved recital-derived rules for GDPR_R30.","combined_with_unique_identifier('x')"
"F154","common_foreign_security_policy_activity","1","scenario:Scenario","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R16.","common_foreign_security_policy_activity('x')"
"F155","competent_authority","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R19.","competent_authority('x')"
"F156","competent_authority_other_purpose_processing","1","scenario:Scenario","intensional","MATERIAL","Predicate used by improved recital-derived rules for GDPR_R19.","competent_authority_other_purpose_processing('x')"
"F157","concerns_entire_filing_system","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R31.","concerns_entire_filing_system('x')"
"F158","consent_meets_gdpr_conditions","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R171.","consent_meets_gdpr_conditions('x')"
"F159","consent_renewal_not_required","1","entity:Entity","intensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R171.","consent_renewal_not_required('x')"
